Angle	Endpoint	Max_Distance
-75	(37, 161)	30
-73	(38, 161)	30
-71	(39, 161)	30
-69	(41, 161)	31
-67	(42, 161)	31
-65	(43, 161)	31
-63	(44, 161)	32
-61	(45, 161)	33
-59	(46, 161)	33
-57	(48, 161)	34
-55	(50, 161)	35
-53	(51, 161)	36
-51	(53, 161)	37
-49	(54, 161)	38
-47	(129, 83)	146
-45	(129, 90)	141
-43	(129, 97)	136
-41	(129, 103)	132
-39	(129, 109)	128
-37	(129, 114)	125
-35	(129, 120)	122
-33	(129, 125)	119
-31	(129, 130)	116
-29	(129, 134)	114
-27	(91, 158)	69
-25	(91, 161)	68
-23	(98, 161)	74
-21	(104, 161)	80
-19	(114, 161)	89
-17	(124, 161)	99
-15	(138, 161)	112
-13	(151, 161)	125
-11	(177, 161)	150
-9	(212, 161)	185
-7	(265, 161)	237
-5	(327, 163)	299
-3	(328, 174)	299
-1	(328, 184)	299
1	(328, 195)	299
3	(315, 204)	286
5	(201, 204)	172
7	(167, 206)	139
9	(123, 204)	95
11	(106, 204)	78
13	(94, 204)	66
15	(85, 204)	57
17	(78, 204)	51
19	(73, 204)	46
21	(68, 204)	41
23	(64, 204)	38
25	(61, 204)	35
27	(59, 204)	33
29	(56, 204)	30
31	(55, 205)	30
33	(55, 206)	31
35	(85, 229)	68
37	(85, 232)	70
39	(85, 235)	72
41	(85, 238)	74
43	(85, 241)	76
45	(85, 245)	79
47	(85, 249)	82
49	(85, 254)	85
51	(85, 258)	88
53	(85, 264)	93
55	(85, 269)	97
57	(85, 275)	102
59	(85, 282)	108
61	(59, 242)	60
63	(56, 241)	58
65	(54, 241)	57
67	(51, 241)	56
69	(49, 241)	55
71	(47, 242)	55
73	(46, 242)	55
75	(43, 241)	53
77	(41, 241)	53
79	(39, 241)	52
81	(38, 246)	57
83	(38, 262)	73
85	(44, 350)	161
87	(38, 350)	161
89	(32, 350)	161
91	(27, 350)	161
93	(21, 350)	161
95	(15, 351)	162
97	(4, 396)	208
99	(2, 365)	178
101	(2, 333)	146
103	(2, 310)	124
105	(2, 294)	108
107	(2, 280)	95
109	(24, 207)	18
111	(24, 204)	16
113	(23, 204)	16
115	(23, 204)	16
117	(22, 204)	16
119	(21, 204)	17
121	(21, 204)	17
123	(20, 204)	17
125	(19, 204)	18
127	(19, 204)	18
129	(18, 204)	19
131	(17, 204)	19
133	(16, 204)	20
135	(15, 204)	21
137	(14, 204)	21
139	(13, 204)	22
141	(12, 204)	23
143	(10, 204)	24
145	(8, 204)	26
147	(5, 205)	29
149	(6, 203)	27
151	(5, 203)	28
153	(3, 203)	30
155	(3, 202)	29
157	(3, 201)	29
159	(2, 200)	29
161	(2, 199)	29
163	(2, 198)	29
165	(2, 197)	28
167	(2, 196)	28
169	(2, 195)	28
171	(2, 194)	28
173	(2, 193)	28
175	(2, 192)	28
